제목,공연시작일,공연종료일,장르,대관 기업명,구분,공연장,상세 링크
지음 클라리넷 앙상블 제17회 정기연주회,2019-05-30,2019-05-30,실내악,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36917
21세기악회 제50주년 기념작품발표회 II,2019-05-30,2019-05-30,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36727
강남심포니오케스트라 제80회정기연주회,2019-05-29,2019-05-29,교향곡,재단법인 강남문화재단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38162
박미희 바이올린 독주회,2019-05-29,2019-05-29,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36893
2019 문화가 있는 날 SAC 아티스트 라운지-5월,2019-05-29,2019-05-29,실내악,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35471
프라임필하모닉오케스트라 정기연주회 '오작교 프로젝트',2019-05-28,2019-05-28,클래식,(사)군포프라임필하모닉오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38160
현대음악앙상블 '소리' 2019 정기연주회,2019-05-28,2019-05-28,실내악,지클레프,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37069
김미령 바이올린 독주회,2019-05-28,2019-05-28,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36713
앙상블 에클라 2019 정기연주회,2019-05-26,2019-05-26,실내악,현대문화,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38266
제3회 SYAP 정기연주회,2019-05-26,2019-05-26,실내악,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38268
가족과 함께하는 금난새의 오페라 이야기,2019-05-26,2019-05-26,,국립오페라단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38499
제13회 소노리테 목관5중주 정기연주회,2019-05-26,2019-05-26,실내악,(주)부암아트,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36853
김유빈 귀국 피아노 독주회,2019-05-26,2019-05-26,독주,클래시 라운지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=38220
제6회 대한민국국제포토페스티벌,2019-05-25,2019-05-30,전시,하얀나무,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38012
제38회 현대한국화협회 대작전,2019-05-25,2019-06-02,전시,(사)현대한국화협회,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38050
전소영 첼로 독주회,2019-05-25,2019-05-25,독주,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36627
이마리솔 바이올린 독주회,2019-05-25,2019-05-25,독주,인스클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36891
국제섬유아트페어,2019-05-25,2019-05-31,전시,화이버아트페어,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38048
2019년 문화햇살콘서트,2019-05-25,2019-05-25,실내악,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35587
2019 한국오페라 갈라페스티벌,2019-05-25,2019-05-25,교향곡,서울오페라앙상블,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39238
2019 제10회 대한민국오페라페스티벌 더뮤즈오페라단 <배비장전>,2019-05-24,2019-05-26,오페라,사단법인 더뮤즈오페라단,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=39383
박수경 바이올린 독주회 그리그 바이올린소나타 전곡시리즈,2019-05-24,2019-05-24,독주,지클레프,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38264
류리나 바이올린 독주회,2019-05-24,2019-05-24,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36865
KBS교향악단 제742회 정기연주회,2019-05-24,2019-05-24,교향곡,(재)KBS 교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35827
"2019 제10회 대한민국오페라페스티벌 호남오페라단 <달하, 비취시오라>",2019-05-24,2019-05-26,오페라,(사)호남오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=39381
영월에 가면 박물관이 보인다.,2019-05-23,2019-05-30,전시,영월군청,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38102
코리안심포니오케스트라 213회 정기연주회,2019-05-23,2019-05-23,교향곡,(재)국립심포니오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35895
제5회 ARZ 피아노 트리오 정기연주회,2019-05-23,2019-05-23,실내악,클래시 라운지,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38262
김동현 귀국 클라리넷 독주회,2019-05-23,2019-05-23,독주,클래시 라운지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36815
정민정 피아노 독주회,2019-05-22,2019-05-22,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=37083
제37회 자선음악회 그대있음에,2019-05-22,2019-05-22,교향곡,재)천주교수원교구유지재단성라자로마을,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39399
드니 성호 기타 리사이틀,2019-05-22,2019-05-22,실내악,라온매니지먼트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36961
바리톤 나건용 독창회,2019-05-21,2019-05-21,성악,세실예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36929
제 36회 허재영 튜바 독주회,2019-05-21,2019-05-21,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36799
The Propose,2019-05-21,2019-05-21,교향곡,(사)김자경오페라단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39236
서울솔리스트 첼로앙상블 제25회 정기연주회,2019-05-19,2019-05-19,실내악,(주)음연,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37035
홍인경 피아노 독주회,2019-05-19,2019-05-19,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36821
카사노바 길들이기 갈라 콘서트,2019-05-19,2019-05-19,성악,아트앤아티스트,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38158
김우중 오보에 독주회,2019-05-19,2019-05-19,독주,클래시 라운지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36841
2019 대한민국 실내악 작곡제전 III,2019-05-18,2019-05-18,실내악,사단법인 한국작곡가협회,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=35927
신세계와 함께하는 2019 예술의전당 토요콘서트(5월),2019-05-18,2019-05-18,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35371
바시오나 아모로사 그리고 슈퍼베이스,2019-05-18,2019-05-18,실내악,문화기획 함박우슴,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37049
바리톤 노대산 독창회,2019-05-18,2019-05-18,성악,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36925
2019 제10회 대한민국오페라페스티벌 야외공연 <오페라 갈라콘서트>,2019-05-18,2019-05-18,오페라,예술의전당,기획,신세계스퀘어 야외무대,https://www.sac.or.kr/site/main/show/show_view?SN=39496
2019 제10회 대한민국오페라페스티벌 글로리아오페라단 <사랑의 묘약>,2019-05-17,2019-05-19,오페라,(사)글로리아오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=39377
이은결〈THE ILLUSION〉,2019-05-17,2019-06-09,,주식회사 이지 프로젝트,대관,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=37289
서울아카데미,2019-05-17,2019-05-22,전시,서울아카데미,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38044
부천필하모닉오케스트라 제248회 정기연주회 - 박영민의 말러 제3번,2019-05-17,2019-05-17,교향곡,부천시청,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36557
김재영 문지영 듀오 리사이틀,2019-05-17,2019-05-17,실내악,주식회사 목프로덕션,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38260
김대준 첼로 독주회,2019-05-17,2019-05-17,독주,음악교육신문사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=38218
김희진 피아노 독주회,2019-05-16,2019-05-16,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36745
제6회 kt chamber orchestra 특별연주회,2019-05-16,2019-05-16,클래식,(주)컬쳐비즈글로벌,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36539
알테무지크서울 제17회 정기연주회,2019-05-16,2019-05-16,실내악,알테무지크서울,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38258
2019 국토해양환경미술대전,2019-05-16,2019-05-22,전시,(사)한국국토해양환경보존협회,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38046
배종선 플루트 독주회,2019-05-15,2019-05-15,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36889
스타인웨이 위너 콘서트 인 코리아,2019-05-15,2019-05-15,독주,더블유씨엔코리아주식회사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36999
"러시아 클래식의 전설, 보로딘 콰르텟 내한공연",2019-05-15,2019-05-15,실내악,(주)두미르,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38495
서울예술가곡연구회 제 62회 정기연주회,2019-05-14,2019-05-14,성악,지음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36851
코리안챔버오케스트라 제164회 정기연주회,2019-05-14,2019-05-14,교향곡,(사)코리안챔버오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36543
제27회대한민국서예전람회,2019-05-14,2019-05-20,전시,사단법인한국서가협회,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=38626
서울국제음악제 보스트리지와 드레이크 슈베르트 2019 Ⅲ,2019-05-14,2019-05-14,성악,(주)오푸스,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36939
박수진 피아노 독주회,2019-05-12,2019-05-12,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36609
루돌프 부흐빈더 ＆ 베토벤,2019-05-12,2019-05-12,클래식,(주)빈체로,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36523
황영경 피아노 독주회,2019-05-12,2019-05-12,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36829
오페라가 들리는 48시간 이탈리아 여행,2019-05-12,2019-05-12,성악,(주)스톰프뮤직,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38256
소목장 박명배와 그의 제자전,2019-05-12,2019-05-19,,영산공방,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38100
서울국제음악제 보스트리지와 드레이크 슈베르트 2019 Ⅱ,2019-05-12,2019-05-12,성악,(주)오푸스,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36943
2019 슬로우퍼니처 10 01,2019-05-12,2019-05-20,전시,꿈꾸는공작소,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38010
아니마 체임버 앙상블의 실내악 음악회,2019-05-11,2019-05-11,실내악,(주)컬쳐비즈글로벌,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36597
이숙현 오보에 독주회,2019-05-11,2019-05-11,독주,조인클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36759
안산시립합창단 제63회 정기연주회 무반주합창의 세계,2019-05-11,2019-05-11,합창,안산시청,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36571
박종화 피아노 리사이틀,2019-05-11,2019-05-11,독주,주식회사 봄아트프로젝트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37055
2019 예술의전당 동요콘서트,2019-05-11,2019-05-12,,예술의전당,기획,신세계스퀘어 야외무대,https://www.sac.or.kr/site/main/show/show_view?SN=39494
서울국제음악제 보스트리지와 드레이크 슈베르트 2019Ⅰ,2019-05-10,2019-05-10,성악,(주)오푸스,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36947
국립오페라단〈윌리엄텔〉,2019-05-10,2019-05-12,오페라,국립오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=36239
곽나영 오보에 독주회,2019-05-10,2019-05-10,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36785
IBK 기업은행과 함께하는 사랑 그리고 나눔,2019-05-09,2019-05-09,교향곡,기업은행,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35571
한화생명과 함께하는 예술의전당 11시콘서트(5월),2019-05-09,2019-05-09,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35349
윤지혜 플루트 독주회,2019-05-09,2019-05-09,독주,클래시 라운지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36833
시대의 소음 : 책으로 듣는 쇼스타코비치,2019-05-08,2019-05-08,교향곡,(주)차이코프스키 씨앤씨,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36541
콰르텟 21 제52회 정기연주회,2019-05-08,2019-05-08,실내악,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37019
창악회 동방기원 한국-대만 교류 현대음악제,2019-05-08,2019-05-08,실내악,창악회,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36771
가남 서예 작품전,2019-05-08,2019-05-13,전시,손해성,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=38640
2019 벳부 아르헤리치 페스티벌 in Seoul,2019-05-07,2019-05-07,클래식,크레디아인터내셔널,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36553
창악회(創樂會) 창립 61주년 정기발표회 I,2019-05-07,2019-05-07,실내악,창악회,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36773
이영묵 개인전,2019-05-07,2019-05-14,전시,이영묵,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38040
달항아리 노.래.하.다,2019-05-07,2019-05-15,전시,오르빛도요,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38026
KCO 첼로 앙상블 제6회 정기연주회,2019-05-07,2019-05-07,실내악,더블유씨엔코리아주식회사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38282
2019년 홍미연 아트페스티발,2019-05-06,2019-05-13,전시,홍익미술,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38042
PICAS와 함께하는 어린이날 그림동화 음악회,2019-05-05,2019-05-05,실내악,이든예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=39391
안영지 귀국 플루트 독주회,2019-05-05,2019-05-05,독주,클래시 라운지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36719
슈퍼히어로와 함께하는 어린이날 콘서트,2019-05-05,2019-05-05,교향곡,(주)스톰프뮤직,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=36565
2019 어린이날 음악회,2019-05-05,2019-05-05,실내악,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36591
김세희 피아노 독주회,2019-05-04,2019-05-04,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36835
제5회 예술의전당 어린이예술단 정기공연 -HARMONY-,2019-05-04,2019-05-04,이벤트콘서트,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35459
염은하 바이올린 독주회,2019-05-04,2019-05-04,독주,리음아트&컴퍼니,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36747
박소형 개인전,2019-05-04,2019-05-11,전시,박소형,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38004
2019 서울스프링실내악축제_0504 7pm,2019-05-04,2019-05-04,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35913
2019 서울스프링실내악축제  _0504 2pm,2019-05-04,2019-05-04,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35915
2019 서울스프링실내악축제_0503,2019-05-03,2019-05-03,교향곡,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35911
이상회 비올라 독주회,2019-05-03,2019-05-03,독주,마에스트로컴퍼니,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=37087
게임속의 오케스트라: 마비노기,2019-05-03,2019-05-03,교향곡,(재)국립심포니오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35897
2019 서울스프링실내악축제_0502,2019-05-02,2019-05-02,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35909
채희철 어수희 두오 리사이틀,2019-05-02,2019-05-02,클래식,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=37085
우관진 개인전,2019-05-02,2019-05-09,전시,제이엘컨템퍼러리,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38098
국립합창단 제178회 정기연주회 〈스트라빈스키 시편교향곡〉,2019-05-02,2019-05-02,합창,(재)국립합창단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35763
나빌레라,2019-05-01,2019-05-12,,서울예술단,대관,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=39205
조지현의 Beethoven Cycle 8회,2019-05-01,2019-05-01,실내악,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=38216
아스토르 피아졸라 퀸텟 콘서트,2019-05-01,2019-05-01,클래식,주식회사 봄아트프로젝트,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38156
2019 서울스프링실내악축제_0501,2019-05-01,2019-05-01,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35907
박진영 바이올린 독주회 <The Contrast>,2019-04-30,2019-04-30,독주,프로사운드랩,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36595
예술의전당 콘서트 오페라 <토스카>,2019-04-30,2019-04-30,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39226
2019 서울스프링실내악축제_0430,2019-04-30,2019-04-30,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35905
성경주 바이올린 독주회,2019-04-28,2019-04-28,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36779
"함영림, 계명선 피아노 듀오 콘서트",2019-04-28,2019-04-28,실내악,예진문화기획사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=39389
조효단 클라리넷 독주회,2019-04-28,2019-04-28,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36617
2019 서울스프링실내악축제_0428,2019-04-28,2019-04-28,,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37107
선우지현 클라리넷 독주회,2019-04-27,2019-04-27,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36621
한국가곡연구회 제 51회 정기연주회,2019-04-27,2019-04-27,성악,지음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36717
2019 하늠챔버앙상블 정기연주회,2019-04-27,2019-04-27,실내악,(주)음연,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37037
KBS교향악단 제741회 정기연주회,2019-04-27,2019-04-27,교향곡,(재)KBS 교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35829
에네스콰르텟 EHNES QUARTET,2019-04-26,2019-04-26,클래식,크레디아인터내셔널,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35777
제27회 빈트리오 정기연주회,2019-04-26,2019-04-26,실내악,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36735
제20회 세종한글서예대전,2019-04-26,2019-05-02,전시,(사)세종한글서예큰뜻모임,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=38636
제 16회 프레미에 스트링 콰르텟 정기연주회,2019-04-26,2019-04-26,실내악,마에스트로컴퍼니,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37001
2019 서울시향 빌데 프랑의 스트라빈스키 ②,2019-04-25,2019-04-25,교향곡,(재)서울시립교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35869
첼리스트 박진영 데뷔 20주년 기념 독주회,2019-04-25,2019-04-25,독주,첼로프로젝트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38533
제 10회 디자인아트페어,2019-04-25,2019-05-04,전시,마이아트예술기획연구소,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38465
"신미정, 김수연, 정선이 트리오 연주회",2019-04-25,2019-04-25,실내악,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36885
신기회 K-skaf  전,2019-04-25,2019-05-03,전시,한국현대미술신기회,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38038
2019 문화가 있는 날 SAC 아티스트 라운지-4월,2019-04-24,2019-04-24,실내악,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=35469
유성민 바이올린 독주회,2019-04-24,2019-04-24,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36805
국립발레단 <잠자는 숲속의 미녀>,2019-04-24,2019-04-28,무용,(재)국립발레단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=36241
2019 서울시향 빌데 프랑의 스트라빈스키 ①,2019-04-24,2019-04-24,교향곡,(재)서울시립교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35867
"2019 SAC CUBE 연극 <추남, 미녀>",2019-04-24,2019-05-19,연극,예술의전당,기획,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=39319
서울 뮤즈 윈드 오케스트라 영화음악의 밤,2019-04-23,2019-04-23,교향곡,예인예술기획,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39395
제 12회 앙상블 판 정기연주회,2019-04-23,2019-04-23,실내악,지음기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37045
2019 ACL-Korea 국제음악제 콘서트 I,2019-04-23,2019-04-23,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36723
김진원 개인전,2019-04-21,2019-05-01,전시,김진원-세섬전,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38008
트리오 가이스트 제1회 정기연주회,2019-04-21,2019-04-21,실내악,음악교육신문사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38250
통영나전칠기전,2019-04-21,2019-04-28,전시,이진호,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38096
장현진 플루트 독주회,2019-04-21,2019-04-21,독주,플룻샵,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36857
송성준 피아노 독주회,2019-04-21,2019-04-21,독주,음악교육신문사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36883
2019 교향악축제 - 중국 국가대극원 오케스트라 (4.21),2019-04-21,2019-04-21,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35435
신세계와 함께하는 2019 예술의전당 토요콘서트(4월),2019-04-20,2019-04-20,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35369
플루티스트 윤현임 X 피아니스트 신주연 듀오 리사이틀,2019-04-20,2019-04-20,독주,클래시 라운지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36881
최경은 첼로 독주회,2019-04-20,2019-04-20,독주,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38248
전수진 피아노 독주회,2019-04-20,2019-04-20,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36795
아벨 콰르텟 제3회 정기연주회,2019-04-20,2019-04-20,실내악,주식회사 목프로덕션,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37075
2019 교향악축제 - 경기필하모닉 오케스트라 (4.20),2019-04-20,2019-04-20,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35433
오페라 카르멘,2019-04-19,2019-04-21,오페라,사)한러오페라단,대관,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=39207
오재경 귀국 첼로 독주회,2019-04-19,2019-04-19,독주,(주)음연,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=38214
바이올리니스트 이성주의 보헤미안 스케치Ⅱ,2019-04-19,2019-04-19,실내악,(주)스테이지원,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36959
2019 교향악축제 - 부천필하모닉오케스트라 (4.19),2019-04-19,2019-04-19,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35431
바이올리니스트 이성주의 보헤미안 스케치Ⅰ,2019-04-18,2019-04-18,독주,(주)스테이지원,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=36963
한국의 정원,2019-04-18,2019-05-19,전시,에스비에스 에이앤티,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=38014
제68회 (사)한국여성작곡가회 봄 정기 발표회,2019-04-18,2019-04-18,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36623
2019 교향악축제 - 부산시립교향악단 (4.18),2019-04-18,2019-04-18,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35429
김정아 바이올린 독주회,2019-04-17,2019-04-17,독주,이든예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=37021
피아니스트 윤병화의 마스터피스 시리즈 I,2019-04-17,2019-04-17,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=36751
2019 교향악축제 - 강남심포니오케스트라 (4.17),2019-04-17,2019-04-17,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=35427
